Date,Open,High,Low,Adj Close,Volume (BTC),Volume (Currency),Weighted Price,Weekday
9/13/2011,5.8,6,5.65,5.97,58.37138238,346.0973894,5.929230648,
9/14/2011,5.58,5.72,5.52,5.53,61.14598362,341.8548132,5.590797514,
9/15/2011,5.12,5.24,5,5.13,80.1407952,408.2590022,5.094271914,
9/16/2011,4.82,4.87,4.8,4.85,39.9140068,193.7631466,4.854515047,
9/19/2011,4.9,4.9,4.9,4.9,20,98,4.9,
9/20/2011,4.92,5.66,4.92,5.66,89.28071068,481.0492629,5.388053693,
9/21/2011,5.7,5.79,5.66,5.66,17.62932238,100.5942336,5.706074879,
9/22/2011,5.68,5.72,5.68,5.72,43.77842238,249.4039411,5.696960456,
9/23/2011,5.7,5.72,5.7,5.72,20.68003681,118.0230148,5.707098875,
9/26/2011,6.06,6.06,4.8,4.8,39.57846334,236.8008544,5.983073481,
9/27/2011,4.85,4.92,4.85,4.92,24.3545,119.22506,4.895401671,
9/28/2011,4.9,4.91,4.82,4.82,83.0533258,403.8466059,4.862497703,
9/29/2011,4.81,4.82,4.81,4.82,46.9645,226.197226,4.816344814,
9/30/2011,0,0,0,0,0,0,0,
10/3/2011,4.85,4.87,4.83,4.87,30.57595,148.2252315,4.847771909,
10/4/2011,4.86,5.3,4.8,4.98,142.5216224,701.8814805,4.924736813,
10/5/2011,4.92,6.25,4.8,4.92,113.72,571.9455,5.029418748,
10/6/2011,4.88,4.99,4.8,4.8,170.8435494,838.6446922,4.908846107,
10/7/2011,4.8,4.81,4.59,4.61,94.64,443.6372,4.68762891,
10/10/2011,3.99,4.51,3.99,4.51,132.5,596.0250015,4.498301898,
10/11/2011,3.98,4.1,3.98,4.1,78.08,312.23915,3.998964524,
10/12/2011,3.95,3.99,3.93,3.93,79.523525,313.6379286,3.943964112,
10/13/2011,3.93,3.97,3.93,3.97,109.621766,433.3263775,3.952922793,
10/14/2011,4.05,4.05,4.05,4.05,96.97751266,392.7589263,4.05,
10/17/2011,3.92,3.92,3.92,3.92,10.24,40.1408,3.92,
10/18/2011,0,0,0,0,0,0,0,
10/19/2011,0,0,0,0,0,0,0,
10/20/2011,2.22,2.29,2.22,2.24,61.972332,139.2859281,2.247550215,
10/21/2011,2.22,2.27,2.22,2.27,41.46334066,92.89280599,2.240359906,
10/24/2011,2.99,2.99,2.92,2.92,64.54,189.0945,2.929880694,
10/25/2011,2.66,2.72,2.66,2.72,130.2993237,350.6966044,2.691469107,
10/26/2011,2.72,3,2.67,2.69,268.2689727,719.877157,2.68341564,
10/27/2011,0,0,0,0,0,0,0,
10/28/2011,3.07,4.36,3.07,4.2,118.3778727,445.3795261,3.762354535,
10/31/2011,3.25,3.55,3.2,3.3,68.99404308,226.894159,3.288605057,
11/1/2011,3.32,3.33,3.32,3.33,38.7771206,128.8354661,3.322460876,
11/2/2011,0,0,0,0,0,0,0,
11/3/2011,0,0,0,0,0,0,0,
11/4/2011,3.27,3.55,3.21,3.55,117.0810387,389.5705044,3.327357776,
11/7/2011,0,0,0,0,0,0,0,
11/8/2011,3.08,3.08,3.08,3.08,47.47212389,146.2141416,3.08,
11/9/2011,3.09,3.3,3.09,3.3,58.86052015,188.319463,3.199418941,
11/10/2011,3.25,3.3,2.95,3.3,121.6677731,388.0459376,3.18938966,
11/11/2011,3.3,3.3,3.3,3.3,65.434,215.9322,3.3,
11/14/2011,2.95,2.95,2.47,2.47,183.4,505.874,2.758309706,
11/15/2011,2.99,3,2.5,2.5,97.3416118,256.4642821,2.634682921,
11/16/2011,2.51,3,2.51,3,5.61666667,16.74220001,2.980807122,
11/17/2011,3,3,2.5,2.99,17.01862876,47.35618595,2.782608788,
11/18/2011,2.5,2.79,2.5,2.5,88.44,224.29,2.536069652,
11/21/2011,2.45,3,2.25,2.25,290.5267758,707.5192,2.435297738,
11/22/2011,2.53,2.59,2.46,2.59,328.4933459,811.1380887,2.469267943,
11/23/2011,0,0,0,0,0,0,0,
11/24/2011,2.54,3,2.54,3,9.1446088,26.25322718,2.870896695,
11/25/2011,2.5,15,2.5,2.75,179.787266,566.879,3.153054233,
11/28/2011,2.67,2.78,2.66,2.66,180.367149,486.85,2.699216586,
11/29/2011,2.69,3.23,2.69,2.72,62.46464882,173.2658965,2.773823271,
11/30/2011,3.19,3.19,3.19,3.19,14.53918495,46.37999999,3.19,
12/1/2011,3.46,3.48,3.3,3.42,233.7800335,805.7906435,3.446789837,
12/2/2011,3.45,3.45,3.04,3.04,131.7570402,414.6492032,3.147074362,
12/5/2011,2.82,2.99,2.82,2.93,207.3632656,612.0765137,2.951711394,
12/6/2011,2.9,3.25,2.89,2.98,216.109289,659.7278949,3.052751216,
